,,2011 Census Population,,,,,,,Population Density,Household Composition,,Country of Birth,Tenure,,Dwelling type,House Prices,Adults in Employment,Lone Parents,Economic Activity,,Qualifications,,,,,,,,Health,,,,,,Car or van availability,,,,,,Public Transport Accessibility Levels (2014),,,Child Benefit,"Household Income, 2011/12"
,,Age Structure,,,,,,,Persons per hectare,% Lone parent household,% One person household,% Not United Kingdom,Social rented (%),Private rented (%),"Flat, maisonette or apartment (%)",Median Price (£),% of households with no adults in employment: With dependent children,Lone parent not in employment %,Employment Rate,Unemployment Rate,% No qualifications,% Highest level of qualification: Level 1 qualifications,% Highest level of qualification: Level 2 qualifications,% Highest level of qualification: Apprenticeship,% Highest level of qualification: Level 3 qualifications,% Highest level of qualification: Level 4 qualifications and above,% Highest level of qualification: Other qualifications,% Schoolchildren and full-time students: Age 18 and over,Day-to-day activities limited a lot (%),Day-to-day activities limited a little (%),Day-to-day activities not limited (%),Very good or Good health (%),Fair health (%),Bad or Very Bad health (%),No cars or vans in household (%),1 car or van in household (%),2 cars or vans in household (%),3 cars or vans in household (%),4 or more cars or vans in household (%),Cars per household,% 0-1 (poor access),% 2-3 (average access),% 4-6 (good access),Total Number of Families Claiming Benefit,Median Annual Household Income estimate (£)
Codes,Names,All Ages,0-15,16-29,30-44,45-64,65+,Working-age,,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,,,,2013,
E01000015,Barking and Dagenham 009A,2241,671,483,562,374,151,1419,79.9,26.0,23.3,27.8,32.2,24.6,29.3,150000,17,63.1,56.1,11.7,26.0,17.8,16.8,1.9,9.9,17.8,9.9,6.6,6.4,7.4,86.2,83.3,11.4,5.3,42.2,45.0,10.8,1.6,0.5,0.7,25.3,74.3,0.4,445,26807
E01000016,Barking and Dagenham 009B,1637,421,297,364,367,188,1028,82.3,18.5,28.1,19.9,36.1,14.2,7.5,159995,11,59.3,57.9,9.1,34.6,17.4,16.0,2.1,8.6,14.5,6.7,5.4,8.9,6.7,84.5,82.0,11.5,6.4,34.8,47.8,13.3,3.5,0.6,0.9,55.6,44.4,0.0,280,28484
E01000017,Barking and Dagenham 009C,1594,403,304,374,351,162,1029,100.6,18.6,29.2,25.9,39.2,12.0,12.6,167500,10,58.1,55.1,8.8,31.3,14.0,13.7,1.8,10.7,19.7,8.7,5.8,9.7,9.2,81.1,79.5,13.3,7.2,37.4,41.7,17.6,2.3,1.0,0.9,3.7,96.3,0.0,295,27591
E01000018,Barking and Dagenham 009D,1597,429,275,392,329,172,996,91.9,22.5,25.8,23.0,38.2,10.9,4.5,162000,13,65.0,57.1,10.4,32.0,16.4,16.7,1.9,8.7,16.9,7.4,5.7,9.1,7.6,83.3,80.4,13.3,6.3,36.8,45.4,14.5,2.1,1.1,0.9,26.5,72.4,1.1,315,28721
E01000079,Barking and Dagenham 009E,1546,411,278,315,327,215,920,49.9,19.2,31.9,22.8,37.3,13.5,12.0,146000,11,59.7,53.7,10.6,33.0,15.2,14.9,1.7,9.4,18.0,7.8,4.1,12.7,9.1,78.3,77.0,14.4,8.7,42.2,39.7,14.1,3.3,0.7,0.8,41.9,58.1,0.0,245,27333
E01000035,Barking and Dagenham 010A,1610,373,319,316,377,225,1012,40.5,16.9,26.6,26.1,19.2,16.8,32.4,180000,9,53.5,57.8,9.2,28.6,16.1,16.2,1.8,7.9,20.9,8.5,7.2,8.8,7.9,83.3,80.1,13.2,6.8,29.3,52.4,13.4,3.5,1.4,1.0,17.9,82.1,0.0,220,31571
E01000036,Barking and Dagenham 010B,1353,300,264,296,342,151,902,32.3,10.7,20.9,29.9,4.1,17.5,10.2,202500,5,51.7,63.0,6.3,25.5,16.4,15.2,2.5,10.0,22.8,7.7,6.3,5.3,8.2,86.5,84.4,12.3,3.3,25.4,48.2,19.4,6.4,0.6,1.1,0.0,100.0,0.0,210,36530
E01000107,Barking and Dagenham 010C,1666,385,282,319,398,282,999,31.1,17.5,21.8,21.4,14.6,14.0,18.5,175000,8,49.3,58.9,9.3,33.6,14.5,16.3,3.4,7.9,15.5,8.9,5.4,9.2,8.2,82.5,79.6,14.5,5.9,26.5,49.6,17.6,5.0,1.3,1.1,75.6,24.4,0.0,250,32732
E01000108,Barking and Dagenham 010D,1558,329,322,345,380,182,1047,64.4,16.3,29.9,25.0,11.2,27.5,35.3,190000,8,42.0,61.4,9.4,26.3,16.7,15.5,3.7,11.7,19.6,6.4,5.6,6.4,9.2,84.5,82.8,12.1,5.1,34.4,44.6,16.3,3.7,1.1,0.9,2.9,97.1,0.0,260,31641
E01000066,Barking and Dagenham 011A,1928,488,413,413,409,205,1235,78.7,13.5,30.5,31.3,28.0,11.3,33.6,259748,7,47.5,57.9,7.4,25.0,13.3,12.8,2.6,11.3,22.0,12.8,6.3,8.6,7.4,84.1,82.3,12.5,5.2,31.9,44.8,17.9,3.8,1.6,1.0,68.3,31.7,0.0,305,36951
